,B-BATTERY#NEGATIVE,B-BATTERY#NEUTRAL,B-BATTERY#POSITIVE,B-CAMERA#NEGATIVE,B-CAMERA#NEUTRAL,B-CAMERA#POSITIVE,B-DESIGN#NEGATIVE,B-DESIGN#NEUTRAL,B-DESIGN#POSITIVE,B-FEATURES#NEGATIVE,B-FEATURES#NEUTRAL,B-FEATURES#POSITIVE,B-GENERAL#NEGATIVE,B-GENERAL#NEUTRAL,B-GENERAL#POSITIVE,B-PERFORMANCE#NEGATIVE,B-PERFORMANCE#NEUTRAL,B-PERFORMANCE#POSITIVE,B-PRICE#NEGATIVE,B-PRICE#NEUTRAL,B-PRICE#POSITIVE,B-SCREEN#NEGATIVE,B-SCREEN#NEUTRAL,B-SCREEN#POSITIVE,B-SER&ACC#NEGATIVE,B-SER&ACC#NEUTRAL,B-SER&ACC#POSITIVE,B-STORAGE#NEGATIVE,B-STORAGE#NEUTRAL,B-STORAGE#POSITIVE,I-BATTERY#NEGATIVE,I-BATTERY#NEUTRAL,I-BATTERY#POSITIVE,I-CAMERA#NEGATIVE,I-CAMERA#NEUTRAL,I-CAMERA#POSITIVE,I-DESIGN#NEGATIVE,I-DESIGN#NEUTRAL,I-DESIGN#POSITIVE,I-FEATURES#NEGATIVE,I-FEATURES#NEUTRAL,I-FEATURES#POSITIVE,I-GENERAL#NEGATIVE,I-GENERAL#NEUTRAL,I-GENERAL#POSITIVE,I-PERFORMANCE#NEGATIVE,I-PERFORMANCE#NEUTRAL,I-PERFORMANCE#POSITIVE,I-PRICE#NEGATIVE,I-PRICE#NEUTRAL,I-PRICE#POSITIVE,I-SCREEN#NEGATIVE,I-SCREEN#NEUTRAL,I-SCREEN#POSITIVE,I-SER&ACC#NEGATIVE,I-SER&ACC#NEUTRAL,I-SER&ACC#POSITIVE,I-STORAGE#NEGATIVE,I-STORAGE#NEUTRAL,I-STORAGE#POSITIVE,O
B-FEATURES#NEUTRAL,1,0,0,0,0,1,0,0,0,3,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
B-FEATURES#POSITIVE,0,0,0,0,0,2,0,0,0,6,0,88,0,0,1,1,0,3,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,2,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,4
B-GENERAL#NEGATIVE,0,0,0,0,0,0,0,0,1,0,0,0,74,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,26
B-GENERAL#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
B-GENERAL#POSITIVE,0,0,2,0,0,3,0,0,6,0,0,0,3,0,492,1,0,11,0,0,4,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,2,0,1,0,2,37,1,0,5,0,0,4,0,0,0,0,0,2,0,0,0,54
B-PERFORMANCE#NEGATIVE,1,0,0,1,0,0,0,0,0,11,0,0,5,0,0,148,0,4,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,4,0,0,1,0,1,27,6,0,0,0,0,1,0,0,0,0,0,0,0,0,40
B-PERFORMANCE#NEUTRAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5
B-PERFORMANCE#POSITIVE,0,0,1,0,0,1,0,0,2,0,0,3,0,0,15,3,0,325,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,0,1,0,0,1,1,0,1,0,0,6,0,9,38,0,0,0,0,0,1,0,0,0,0,0,0,23
B-PRICE#NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,6
B-PRICE#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,11
B-PRICE#POSITIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,12,0,0,0,0,0,0,0,0,0,15
B-SCREEN#NEGATIVE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,2,1,0,0,0,0,7,0,0,0,0,1,0,0,0,11
B-SCREEN#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
B-SCREEN#POSITIVE,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,61,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,3
B-SER&ACC#NEGATIVE,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,17
B-SER&ACC#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-SER&ACC#POSITIVE,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0,136,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,1,0,10,0,0,0,16
B-STORAGE#NEGATIVE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B-STORAGE#NEUTRAL,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
B-STORAGE#POSITIVE,1,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I-BATTERY#NEGATIVE,25,0,1,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,29,18,0,0,0,10,0,0,3,0,0,1,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157
I-BATTERY#NEUTRAL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,321,130,0,0,0,0,0,0,2,0,0,0,2,0,0,18,4,0,0,0,0,0,0,0,0,0,0,0,0,99
I-BATTERY#POSITIVE,1,0,9,0,0,0,0,0,1,0,0,2,0,0,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,56,116,1259,7,0,3,0,0,1,0,0,6,0,0,22,0,0,54,0,0,0,0,0,0,0,0,1,0,0,0,88
I-CAMERA#NEGATIVE,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,482,31,9,8,0,0,27,0,0,5,0,0,3,0,0,0,0,0,40,0,0,0,0,0,0,0,0,85
I-CAMERA#NEUTRAL,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,125,38,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19
I-CAMERA#POSITIVE,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23,566,0,0,0,0,0,3,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,43
I-DESIGN#NEGATIVE,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,8,265,0,13,47,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,46
I-DESIGN#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
I-DESIGN#POSITIVE,0,0,1,0,0,1,0,0,9,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,15,0,0,423,12,2,6,0,0,1,0,0,6,0,0,1,0,0,4,0,0,10,0,0,0,43
I-FEATURES#NEGATIVE,1,0,0,1,0,0,0,0,0,26,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,1,0,0,0,0,21,0,0,1540,8,8,0,0,0,103,6,6,0,0,0,12,0,0,5,0,7,0,0,0,227
I-FEATURES#NEUTRAL,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,34,24,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
I-FEATURES#POSITIVE,0,0,1,0,0,0,0,0,1,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,21,28,30,398,0,0,6,0,9,11,0,0,0,0,0,10,0,0,11,0,0,0,45
I-GENERAL#NEGATIVE,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,0,0,1,0,5,5,0,0,339,0,2,5,0,0,23,0,0,0,0,0,11,0,0,0,0,0,118
I-GENERAL#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,21,74,19,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,18
I-GENERAL#POSITIVE,0,0,2,0,0,0,0,0,1,0,0,1,0,0,33,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,0,0,16,0,0,1,9,15,1535,3,4,20,0,2,42,0,0,1,0,0,15,0,0,0,319
I-PERFORMANCE#NEGATIVE,4,0,0,2,0,0,0,0,0,5,0,0,2,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,45,0,0,3,0,0,127,0,0,22,0,0,1867,77,7,0,0,0,3,0,0,4,0,1,0,0,0,218
I-PERFORMANCE#NEUTRAL,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,6,5,0,0,0,0,0,0,2,0,0,0,1,4,76,127,60,0,0,0,0,0,0,0,0,0,0,0,0,82
I-PERFORMANCE#POSITIVE,0,0,4,0,0,0,0,0,3,0,0,1,0,0,3,0,0,29,0,0,0,0,0,2,0,0,0,0,0,0,0,0,25,0,0,2,0,0,11,0,0,14,0,0,62,59,63,1604,0,0,0,0,0,15,0,0,4,0,0,0,244
I-PRICE#NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,47,3,15,0,0,0,2,0,0,0,0,0,20
I-PRICE#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23,27,40,0,0,0,0,0,0,0,0,0,13
I-PRICE#POSITIVE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,37,0,0,3,0,5,125,0,0,0,0,0,6,0,0,0,33
I-SCREEN#NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,5,0,0,3,0,0,48,3,1,0,0,0,296,0,0,0,0,0,0,0,0,103
I-SCREEN#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,13,0,0,0,0,0,0,0
I-SCREEN#POSITIVE,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,1,0,0,0,0,0,3,0,0,0,31,0,204,0,0,0,0,0,0,40
I-SER&ACC#NEGATIVE,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,3,0,3,18,0,0,22,0,0,0,0,0,9,0,0,0,0,0,167,0,0,0,0,0,186
I-SER&ACC#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,37,1,18,0,0,0,15
I-SER&ACC#POSITIVE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10,0,0,26,0,0,3,0,0,12,0,0,0,22,0,894,0,0,0,137
I-STORAGE#NEGATIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I-STORAGE#NEUTRAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4
I-STORAGE#POSITIVE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,0
O,18,0,14,7,0,10,8,0,9,24,0,9,37,0,69,33,0,43,1,0,12,5,0,1,4,0,18,0,0,0,220,39,159,115,19,57,121,0,31,271,12,73,198,10,348,263,105,179,50,2,62,111,0,8,234,0,147,0,0,0,12241
